name,tagline,topic,description,subscribers,frequency,link
No CS Degree,Inspiring interviews with developers without CS degrees.,Development,Inspiring interviews with developers without CS degrees.,0,2x weekly,https://www.nocsdegree.com/
Maker Mind,The intersection of neuroscience and entrepreneurship.,Creator,The intersection of neuroscience and entrepreneurship.,0,weekly,https://makermind.nesslabs.com/
CreatorSpot,"Get the best content creators in your inbox, every week.",Creator,"Get the best content creators in your inbox, every week.",0,weekly,https://www.creatorspot.co
Lembas Capital,News for entrepreneurs & hedge fund managers.,Business,News for entrepreneurs & hedge fund managers.,0,weekly,https://lembascapital.com/weekly-readings/
DesignRemotely,Remote design jobs delivered to your inbox.,Design,Remote design jobs delivered to your inbox.,0,weekly,https://designremotely.co/subscribe/
Learn Design System,Learn to make better products with design systems.,Design,Learn to make better products with design systems.,0,weekly,https://www.learndesignsystem.com/signup-for-newsletter
Marketing Examples,Join 1000s of marketers getting 2 case studies every week.,Marketing,Join 1000s of marketers getting 2 case studies every week.,0,weekly,https://marketingexamples.com/subscribe
Growth.Design,Get insights into how the best products do it.,Design,Get insights into how the best products do it.,0,bi-weekly,https://growth.design/community/
Charged,Insights into the best tech stories of the week.,Tech,Insights into the best tech stories of the week.,0,weekly,https://char.gd/subscribe
Farnam Street,Become a world-class thinker.,Business,Become a world-class thinker.,0,weekly,https://fs.blog/newsletter/
Backlinko,Proven SEO tips straight to your inbox.,Marketing,Proven SEO tips straight to your inbox.,0,weekly,https://backlinko.com/newsletter
The Hacker’s Mail,Free and Open Source Software news [in French].,Development,Free and Open Source Software news [in French].,0,weekly,https://lecourrierduhacker.com/
unbankd,"Explore, learn and stay up-to-date on all things crypto.",Tech,"Explore, learn and stay up-to-date on all things crypto.",0,daily,https://unbankd.co/
Stripe Atlas,Guides to running an internet business.,Business,Guides to running an internet business.,0,ad-hoc,https://stripe.com/atlas/guides
Startup Growth Tactics,Critical updates from the startup ecosystem.,Business,Critical updates from the startup ecosystem.,0,ad-hoc,https://robwalling.com/
The UX List,Curated news for busy UX folk.,Design,Curated news for busy UX folk.,0,weekly,http://www.uxlist.com
Sunday Dispatches,One article a week from Paul Jarvis.,Business,One article a week from Paul Jarvis.,0,weekly,https://pjrvs.com/signup/
Product Disrupt,"Disruptive stories, design inspiration, and more.",Product,"Disruptive stories, design inspiration, and more.",0,monthly,https://productdisrupt.com/newsletter.html
Designer Digest,"Design knowledge, skills, tools, news and inspiration.",Design,"Design knowledge, skills, tools, news and inspiration.",0,weekly,https://awdee.ru/newsletter/
Dense Discovery,"Helping you productive, stay inspired, and think critically.",Design,"Helping you productive, stay inspired, and think critically.",0,weekly,https://www.densediscovery.com/
Python Weekly,"Curated Python articles, new releases, jobs, and more.",Development,"Curated Python articles, new releases, jobs, and more.",0,weekly,https://www.pythonweekly.com/
Founder Weekly,"Must-read articles, resources, events, and more.",Business,"Must-read articles, resources, events, and more.",0,weekly,http://www.founderweekly.com/
Scale or Die,Get proven strategies from founders & growth experts.,Business,Get proven strategies from founders & growth experts.,0,weekly,https://useproof.com/scaleordie
Sarah Doody UX,Get the best UX tips delivered to your inbox.,Design,Get the best UX tips delivered to your inbox.,0,weekly,https://www.sarahdoody.com/ux-newsletter/
Stacking the Bricks,"Build Your Business, One Win at a Time.",Business,"Build Your Business, One Win at a Time.",0,weekly,https://stackingthebricks.com/
Owwly,Find digital products crafted with passion.,Design,Find digital products crafted with passion.,0,weekly,https://owwly.com/
Starter Story,Learn how people are starting successful businesses.,Business,Learn how people are starting successful businesses.,0,weekly,https://stratechery.com/membership/
Drinking from the firehose.,The cure for internet overload.,News,The cure for internet overload.,0,weekly,https://firehose.vc/
Stratechery,Substantial analysis of the news of the day.,News,Substantial analysis of the news of the day.,0,semi-weekly,https://stratechery.com/membership/
Exponential View,Get smarter about AI.,Tech,Get smarter about AI.,0,"weekly, with ~38k subscribers",https://exponentialview.substack.com/
Benedict Evans,An email every Sunday with notes for the past week.,Tech,An email every Sunday with notes for the past week.,0,weekly,https://www.ben-evans.com/newsletter
TLDR,Byte sized news for busy techies.,Tech,Byte sized news for busy techies.,0,daily,https://www.tldrnewsletter.com/
EntrepreneursHQ,One marketing tactic to your inbox each morning.,Marketing,One marketing tactic to your inbox each morning.,0,daily,https://entrepreneurshq.com/daily/
DevKit,Discover services & tools for your startup.,Dev,Discover services & tools for your startup.,0,weekly,https://lystof.com/list/B1IZFRIwE
The Spruce,Get daily tips and tricks for making your best home.,DIY,Get daily tips and tricks for making your best home.,0,daily,https://www.thespruce.com/#newsletter--title-form_2-0
Mark Manson,Unapologetic advice about getting the most from life.,Lifestyle,Unapologetic advice about getting the most from life.,0,monthly or so,https://markmanson.net/best-articles
The Family Handyman,Learn new skills and get DIY tips and hints.,DIY,Learn new skills and get DIY tips and hints.,0,weekly,https://www.familyhandyman.com/newslettersignuppage/
Winnie,Inspiration & insight for modern parents.,Parenting,Inspiration & insight for modern parents.,0,weekly,https://winnie.com/
UX Booth,The latest posts & resources from the web.,Design,The latest posts & resources from the web.,0,"weekly, with over 100k subscribers",https://www.uxbooth.com/subscribe/
Tiny Acquire,Curated selection of digital businesses for sale.,Business,Curated selection of digital businesses for sale.,0,weekly,https://tinyacquire.com/
OhMyRockness,Find local show and band recommendations.,Music,Find local show and band recommendations.,0,weekly,https://www.ohmyrockness.com/
Muzli by InVision,The best design inspiration curated for you.,Design,The best design inspiration curated for you.,0,weekly,https://muz.li/
Musicgeeks,Hunted new artists right to your email.,Music,Hunted new artists right to your email.,0,weekly,https://musicgeeks.co
Chameleon,Onboarding and product adoption best practices.,Product,Onboarding and product adoption best practices.,0,weekly,https://www.trychameleon.com/blog
Uberflip,"Marketing tips, trends, and insights.",Marketing,"Marketing tips, trends, and insights.",0,weekly,https://hub.uberflip.com/blog
Terminus,The latest from the ABM experts.,Marketing,The latest from the ABM experts.,0,weekly,https://terminus.com/blog/
Scarymommy,Parenting tips & stories from a working mom.,Parenting,Parenting tips & stories from a working mom.,0,daily & weekly,https://www.scarymommy.com/#newsletterSignupFooter
Red Tricycle,Local things to with kids.,Parenting,Local things to with kids.,0,weekly,http://redtri.com/subscribe/
Mommyshorts,Parenting tips & stories from a working mom.,Parenting,Parenting tips & stories from a working mom.,0,daily & weekly,http://www.mommyshorts.com/
Unread.it,Curated posts and links on your favorite topics.,News,Curated posts and links on your favorite topics.,0,weekly,https://unread.it/
No Code,How to build your business without code.,Dev,How to build your business without code.,0,monthly,https://www.nocode.tech/
I’m Nat,"Articles on growth, books, speeches, & more.",Business,"Articles on growth, books, speeches, & more.",0,weekly,https://www.nateliason.com/
hackernews,"The best articles on startups, tech, and more.",Dev,"The best articles on startups, tech, and more.",0,weekly,https://hackernewsletter.com/
Failory,Learn from founders of failed and successful startups.,Business,Learn from founders of failed and successful startups.,0,weekly,https://www.failory.com/
HBR,The best ideas in management.,News,The best ideas in management.,0,daily & weekly,https://hbr.org/email-newsletters
Web Design Weekly,Awesome links to the best design posts.,Design,Awesome links to the best design posts.,0,"weekly, ~25k subscribers",https://web-design-weekly.com/
UX Planet,1-stop resource for everything UX.,Design,1-stop resource for everything UX.,0,weekly,https://uxplanet.org/
UX Design Weekly,The best UX design links every week.,Design,The best UX design links every week.,0,"weekly, ~25k subscribers",http://uxdesignweekly.com/
The Skimm,The news & info you need to start your day.,News,The news & info you need to start your day.,0,daily,https://www.theskimm.com/
the Hustle,The tech & business news you need to know.,Business,The tech & business news you need to know.,0,daily,https://thehustle.co/
Seths Blog,Marketing bits to take to heart.,Marketing,Marketing bits to take to heart.,0,monthly,https://seths.blog/
SaaS Weekly,The best SaaS articles the web has to offer.,Product,The best SaaS articles the web has to offer.,0,weekly,https://getsaasweekly.com/
Product News,The latest top Product news in your inbox.,Product,The latest top Product news in your inbox.,0,weekly,https://producthabits.com/news
Inside,"Real news, curated by real humans.",News,"Real news, curated by real humans.",0,monthly,https://inside.com/
Indie Hackers,Founders helping each other start businesses.,Product,Founders helping each other start businesses.,0,weekly,https://www.indiehackers.com/
HeyDesigner,Daily design news for product people.,Design,Daily design news for product people.,0,daily & weekly,https://heydesigner.com/
Frontend Focus,The best frontend news and tutorials.,Dev,The best frontend news and tutorials.,0,weekly,https://frontendfoc.us/
Fatherly,Practical and relevant parenting advice.,Parenting,Practical and relevant parenting advice.,0,daily,https://www.fatherly.com/newsletter-sign-up/email-newsletter/
The Daily Beast,Hot topics that you curate.,News,Hot topics that you curate.,0,"daily, weekly, and monthly",https://www.thedailybeast.com/newsletters
Copyblogger,Words that work for marketing and sales.,Marketing,Words that work for marketing and sales.,0,weekly,https://www.copyblogger.com/subscribe/
bitsofcode,Articles on frontend development.,Dev,Articles on frontend development.,0,monthly,https://bitsofco.de/
